,edad,ocupacion,estadocivil,estudios,descubierto,saldoanual,hipoteca,prestamo,canalcontacto,dia,mes,duracion,contactosactuales,contactoanterior,contactosprevios,contrata,contratanum,Anomaly,Anomaly_Score,Label,Score,perfil
0,58,technician,married,secondary,0,71,1,0,others,5,may,71,1,-1,0,no,0,0,-0.11532091176696235,no,0.7942,No interesante
1,32,blue-collar,single,primary,0,23,1,1,others,5,may,160,1,-1,0,no,0,0,-0.06763270723795327,no,0.8073,No interesante
2,53,technician,married,secondary,0,-3,0,0,others,5,may,1666,1,-1,0,no,0,0,-0.055752804414973316,yes,0.5227,Periferia
3,50,management,married,secondary,0,49,1,0,others,5,may,180,2,-1,0,no,0,0,-0.11463497720369364,no,0.7819,No interesante
4,35,blue-collar,single,secondary,0,12223,1,1,others,5,may,177,1,-1,0,no,0,0,-0.0350917696042245,no,0.7698,No interesante
5,57,blue-collar,married,secondary,0,5935,1,1,others,5,may,258,1,-1,0,no,0,0,-0.062043668325199426,no,0.7252,No interesante
6,49,services,divorced,secondary,0,0,1,1,others,5,may,272,1,-1,0,no,0,0,-0.048008872895893666,no,0.7561,No interesante
7,59,admin.,married,secondary,0,2343,1,0,others,5,may,1042,1,-1,0,yes,1,0,-0.046316940683452164,yes,0.5178,Periferia
8,55,blue-collar,married,secondary,0,383,0,0,others,5,may,287,1,-1,0,no,0,0,-0.10050743419991326,no,0.5774,Periferia
9,45,management,married,tertiary,0,523,1,0,others,5,may,849,2,-1,0,no,0,0,-0.07748230499078684,yes,0.5286,Periferia
10,46,technician,divorced,secondary,0,79,0,0,others,5,may,144,1,-1,0,no,0,0,-0.06963010746054038,no,0.7126,No interesante
11,29,admin.,single,secondary,0,818,1,1,others,5,may,61,1,-1,0,no,0,0,-0.08494147460076007,no,0.7757,No interesante
12,26,student,single,secondary,0,0,1,0,others,5,may,610,2,-1,0,no,0,0,-0.09331143448427516,yes,0.5277,Periferia
13,52,blue-collar,married,secondary,0,782,1,0,others,5,may,93,3,-1,0,no,0,0,-0.12236555000128192,no,0.7807,No interesante
14,50,blue-collar,married,primary,0,0,0,0,others,5,may,233,3,-1,0,no,0,0,-0.08717055971859633,no,0.6493,No interesante
15,53,admin.,divorced,secondary,0,1151,1,0,others,5,may,412,1,-1,0,no,0,0,-0.0745233256850093,no,0.5896,Periferia
16,38,technician,married,secondary,0,253,1,0,others,5,may,416,1,-1,0,no,0,0,-0.12323027403845987,no,0.5827,Periferia
17,33,management,married,tertiary,0,377,1,0,others,5,may,217,1,-1,0,no,0,0,-0.10175447654994213,no,0.6957,No interesante
18,34,blue-collar,married,secondary,0,243,1,0,others,5,may,291,1,-1,0,no,0,0,-0.12822622988929927,no,0.6902,No interesante
19,48,self-employed,married,tertiary,0,7,1,0,others,5,may,286,1,-1,0,no,0,0,-0.09524903958938784,no,0.7187,No interesante
20,41,blue-collar,married,primary,0,183,1,1,others,5,may,110,2,-1,0,no,0,0,-0.07439450927722557,no,0.8044,No interesante
21,37,admin.,married,secondary,0,190,1,0,others,5,may,92,2,-1,0,no,0,0,-0.13026011418805028,no,0.7814,No interesante
22,49,services,married,secondary,0,47,0,0,others,5,may,234,2,-1,0,no,0,0,-0.10656614977257216,no,0.6225,No interesante
23,54,technician,married,tertiary,0,258,0,0,others,5,may,310,4,-1,0,no,0,0,-0.07810164538730817,no,0.5814,Periferia
24,54,technician,single,secondary,0,447,1,0,others,5,may,742,2,-1,0,no,0,0,-0.0864027301189737,yes,0.5333,Periferia
25,57,retired,married,secondary,0,211,1,0,others,5,may,248,2,-1,0,no,0,0,-0.09236614805511822,no,0.6877,No interesante
26,49,blue-collar,married,secondary,0,403,1,0,others,5,may,241,2,-1,0,no,0,0,-0.1259187029091271,no,0.6929,No interesante
27,38,admin.,single,secondary,0,393,0,0,others,6,may,184,2,-1,0,no,0,0,-0.1118013572805442,no,0.6502,No interesante
28,58,blue-collar,divorced,secondary,0,29,1,0,others,6,may,253,1,-1,0,no,0,0,-0.07915984825540606,no,0.731,No interesante
29,42,housemaid,married,primary,0,17,1,0,others,6,may,124,1,-1,0,no,0,0,-0.10422702283411596,no,0.8111,No interesante
30,48,technician,married,secondary,0,141,1,1,others,6,may,424,1,-1,0,no,0,0,-0.0898039486749932,no,0.612,No interesante
31,38,technician,married,secondary,0,284,1,0,others,6,may,483,1,-1,0,no,0,0,-0.12118362483543806,no,0.5083,Periferia
32,39,blue-collar,married,primary,0,0,1,0,others,6,may,262,2,-1,0,no,0,0,-0.10758721600716004,no,0.7344,No interesante
33,45,blue-collar,married,primary,0,1297,1,0,others,6,may,233,2,-1,0,no,0,0,-0.10790059160658723,no,0.7067,No interesante
34,38,management,married,secondary,0,517,1,0,others,6,may,288,2,-1,0,no,0,0,-0.11711716926100207,no,0.6826,No interesante
35,36,admin.,married,secondary,0,639,1,0,others,6,may,191,1,-1,0,no,0,0,-0.1311327669719387,no,0.7568,No interesante
36,51,blue-collar,married,secondary,0,50,1,1,others,6,may,121,1,-1,0,no,0,0,-0.09279534774279212,no,0.8091,No interesante
37,52,services,married,secondary,0,660,0,0,others,6,may,201,2,-1,0,no,0,0,-0.10717598874208456,no,0.644,No interesante
38,35,admin.,married,secondary,0,69,1,1,others,6,may,235,2,-1,0,no,0,0,-0.09936606564041787,no,0.7282,No interesante
39,38,admin.,single,secondary,0,221,1,0,others,6,may,211,2,-1,0,no,0,0,-0.12316058952589365,no,0.6924,No interesante
