,Factura,Ciudad,Tipo_cliente,Genero,Linea_producto,Precio_unidad,Cantidad,Impuesto,Total,Forma_pago,Coste,Calificacion,Fecha2,Dia,Jornada,Horario,Calificacion2,ISG,Anomaly,Anomaly_Score,Cluster
0,802-70-5316,Yangon,Miembro,Mujer,Sports and travel,92.13,6,27.639,580.419,Cash,552.78,8.3,2019-03-06,Wednesday,Laboral,Noche,Neutros,0,0,-0.009627471245172605,Cluster 2
1,875-46-5808,Mandalay,Miembro,Hombre,Health and beauty,25.9,10,12.95,271.95,Ewallet,259.0,8.7,2019-02-06,Wednesday,Laboral,Tarde,Promotores,100,0,-0.01263788427293988,Cluster 1
2,326-78-5178,Naypyitaw,Miembro,Hombre,Food and beverages,91.4,7,31.99,671.79,Cash,639.8,9.5,2019-02-03,Sunday,Festivo,Mañana,Promotores,100,0,-0.015568735244089303,Cluster 0
3,127-47-6963,Yangon,Normal,Hombre,Health and beauty,51.71,4,10.342,217.182,Credit card,206.84,9.8,2019-03-09,Saturday,Laboral,Mañana,Promotores,100,0,-0.022262473356664425,Cluster 0
4,241-72-9525,Mandalay,Normal,Hombre,Sports and travel,51.91,10,25.955,545.055,Cash,519.1,8.2,2019-02-16,Saturday,Laboral,Mañana,Neutros,0,0,-0.008961223986421074,Cluster 0
5,589-02-8023,Yangon,Miembro,Hombre,Food and beverages,83.77,2,8.377,175.917,Credit card,167.54,7.0,2019-01-15,Tuesday,Laboral,Mañana,Neutros,0,0,-0.022144360005657115,Cluster 0
6,730-61-8757,Mandalay,Miembro,Hombre,Health and beauty,51.13,4,10.226,214.746,Credit card,204.52,4.0,2019-01-25,Friday,Laboral,Mañana,Detractores,-100,0,-0.02249993724892352,Cluster 0
7,234-03-4040,Mandalay,Miembro,Mujer,Food and beverages,73.05,10,36.525,767.025,Credit card,730.5,8.7,2019-03-03,Sunday,Festivo,Mañana,Promotores,100,0,-0.006225235651216354,Cluster 0
8,457-12-0244,Naypyitaw,Miembro,Mujer,Sports and travel,35.22,6,10.566,221.886,Ewallet,211.32,6.5,2019-03-14,Thursday,Laboral,Mañana,Neutros,0,0,-0.0331064304407418,Cluster 0
9,575-67-1508,Yangon,Normal,Hombre,Electronic accessories,38.6,1,1.93,40.53,Ewallet,38.6,6.7,2019-01-29,Tuesday,Laboral,Mañana,Neutros,0,0,-0.025774281074909644,Cluster 0
