,Factura,Ciudad,Tipo_cliente,Genero,Linea_producto,Precio_unidad,Cantidad,Impuesto,Total,Forma_pago,Coste,Calificacion,Fecha2,Dia,Jornada,Horario,Calificacion2,ISG,Anomaly,Anomaly_Score,Cluster
0,631-41-3108,Yangon,Normal,Hombre,Home and lifestyle,46.33,7,16.2155,340.5255,Credit card,324.31,7.4,2019-03-03,Sunday,Festivo,Mañana,Neutros,0,0,-0.03883988394035809,Cluster 0
1,765-26-6951,Yangon,Normal,Hombre,Sports and travel,72.61,6,21.783,457.443,Credit card,435.66,6.9,2019-01-01,Tuesday,Laboral,Mañana,Neutros,0,0,-0.02229941140194069,Cluster 0
2,777-82-7220,Mandalay,Miembro,Hombre,Home and lifestyle,30.12,8,12.048,253.008,Cash,240.96,7.7,2019-03-03,Sunday,Festivo,Mañana,Neutros,0,0,-0.02944638399538635,Cluster 0
3,727-46-3608,Mandalay,Miembro,Mujer,Food and beverages,20.01,9,9.0045,189.0945,Ewallet,180.09,4.1,2019-02-06,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.026407673639678,Cluster 1
4,162-48-8011,Yangon,Miembro,Mujer,Food and beverages,44.59,5,11.1475,234.0975,Cash,222.95,8.5,2019-02-10,Sunday,Festivo,Tarde,Promotores,100,0,-0.03256056387121764,Cluster 1
5,232-11-3025,Yangon,Normal,Hombre,Sports and travel,78.77,10,39.385,827.085,Cash,787.7,6.4,2019-01-24,Thursday,Laboral,Mañana,Detractores,-100,0,-0.010236902949732118,Cluster 0
6,841-35-6630,Naypyitaw,Normal,Mujer,Electronic accessories,75.91,6,22.773000000000003,478.233,Cash,455.46,8.7,2019-03-09,Saturday,Laboral,Noche,Promotores,100,0,-0.03064274890688279,Cluster 2
7,766-85-7061,Mandalay,Normal,Hombre,Health and beauty,87.87,10,43.935,922.635,Ewallet,878.7,5.1,2019-03-29,Friday,Laboral,Mañana,Detractores,-100,0,-0.0061925878446541524,Cluster 0
8,865-92-6136,Yangon,Normal,Hombre,Food and beverages,52.75,3,7.9125,166.1625,Ewallet,158.25,9.3,2019-03-23,Saturday,Laboral,Mañana,Promotores,100,0,-0.036362448902488416,Cluster 0
9,733-01-9107,Mandalay,Normal,Hombre,Home and lifestyle,82.7,6,24.81,521.01,Cash,496.2,7.4,2019-03-05,Tuesday,Laboral,Noche,Neutros,0,0,-0.025442404527559196,Cluster 2
