,Factura,Total,Calificacion,Cluster_22
0,326-78-5178,671.79,9.5,3
1,649-11-3678,216.6885,5.5,0
2,302-15-2162,293.139,4.3,0
3,509-10-0516,193.074,5.1,0
4,173-50-1108,84.756,5.0,0
5,172-42-8274,80.367,5.8,0
6,568-90-5112,277.788,5.6,0
7,778-34-2523,408.408,5.0,1
8,220-68-6701,325.374,4.2,0
9,712-39-0363,262.45799999999997,5.6,0
10,866-05-7563,256.41,4.8,0
11,327-40-9673,457.38,6.9,3
12,235-46-8343,290.43,8.9,2
13,852-82-2749,271.278,9.3,2
14,373-73-7910,634.3785,5.3,1
15,334-64-2006,147.672,9.6,2
16,182-52-7000,113.568,6.9,0
17,667-23-5919,507.675,7.0,3
18,659-65-8956,53.928000000000004,5.2,0
19,314-23-4520,597.0405,9.0,3
20,710-46-4433,731.43,4.5,1
21,756-93-1854,175.035,9.5,2
22,375-72-3056,198.639,7.0,2
23,613-59-9758,150.78,5.4,0
24,715-20-1673,148.995,9.4,2
25,305-18-3552,633.99,6.0,1
26,785-13-7708,536.991,4.2,1
27,326-71-2155,310.59,6.1,0
28,594-34-4444,102.01799999999999,7.2,2
29,609-81-8548,235.872,5.9,0
30,459-45-2396,313.74,5.8,0
31,370-96-0655,310.716,7.1,2
32,480-63-2856,161.7,6.6,0
33,183-21-3799,733.6035,7.2,3
34,243-47-2663,118.251,5.5,0
35,340-66-0321,152.71200000000005,7.6,2
36,400-45-1220,141.75,4.8,0
37,404-91-5964,548.163,9.0,3
38,183-56-6882,417.564,7.5,3
39,226-71-3580,224.4375,9.5,2
40,584-66-4073,59.325,9.6,2
41,678-79-0726,856.4535,5.1,1
42,775-72-1988,384.72,8.4,3
43,831-81-6575,714.3255,8.0,3
44,142-63-6033,484.89,4.9,1
45,390-31-6381,85.743,7.3,2
46,782-95-9291,484.5225,9.0,3
47,291-55-6563,216.84599999999998,7.5,2
48,124-31-1458,250.7085,6.6,0
49,278-97-7759,65.604,4.7,0
50,199-75-8169,166.005,8.6,2
51,767-54-1907,155.19,6.9,0
52,526-86-8552,229.11,7.1,2
53,785-96-0615,300.216,4.9,0
54,719-89-8991,479.9025,7.1,3
55,154-74-7179,57.1725,7.9,2
56,796-12-2025,652.26,5.9,1
57,602-80-9671,100.485,5.1,0
58,186-71-5196,167.03400000000005,6.2,0
59,219-61-4139,87.234,6.4,0
60,487-79-6868,116.1405,8.0,2
61,369-82-2676,397.215,7.8,3
62,896-34-0956,22.386,5.9,0
63,560-30-5617,130.0425,8.5,2
64,236-27-1144,154.1295,8.4,2
65,518-71-6847,167.58,4.9,0
66,641-96-3695,273.798,8.5,2
67,286-62-6248,164.68200000000004,9.0,2
68,828-46-6863,620.739,4.0,1
69,257-73-1380,348.306,9.6,2
70,437-53-3084,209.769,7.1,2
71,387-49-4215,152.775,6.7,0
72,796-32-9050,323.064,6.5,0
73,453-33-6436,782.2080000000003,6.8,3
74,333-23-2632,74.08800000000002,4.2,0
75,433-75-6987,411.3795,8.9,3
76,244-08-0162,359.205,5.1,0
77,162-65-8559,72.429,4.8,0
78,816-72-8853,146.6325,5.9,0
79,639-76-1242,212.73,4.5,0
80,636-98-3364,82.719,6.3,0
81,672-51-8681,629.8425,9.7,3
82,381-20-0914,189.0945,5.7,0
83,787-15-1757,185.09400000000002,8.4,2
84,190-59-3964,247.59,6.0,0
85,801-88-0346,239.58900000000003,9.8,2
86,370-41-7321,535.7205,8.4,3
87,861-77-0145,860.685,9.2,3
88,656-95-9349,506.6355,4.6,1
89,651-61-0874,194.12400000000002,6.2,0
90,652-43-6591,817.2360000000001,6.2,1
91,390-17-5806,40.341,8.6,2
92,541-89-9860,253.512,8.1,2
93,569-71-4390,45.927,6.9,0
94,493-65-6248,388.29,7.0,3
95,841-18-8232,74.76,9.2,2
96,176-78-1170,106.5015,7.3,2
97,460-93-5834,335.0130000000001,5.0,0
98,267-62-7380,864.57,4.3,1
99,303-96-2227,1022.49,4.4,1
