,Factura,Total,Calificacion,Cluster_21,Cluster_22
0,568-88-3448,26.25,5.5,0,0
1,397-25-8725,374.409,6.8,0,0
2,275-28-0149,66.8745,6.0,0,0
3,210-74-9613,408.49199999999996,6.8,0,0
4,263-12-5321,680.61,9.3,1,3
5,347-34-2234,520.4115,10.0,2,3
6,378-24-2715,112.22399999999999,4.1,0,0
7,641-62-7288,629.496,7.1,1,3
8,891-58-8335,217.6335,6.5,0,0
9,650-98-6268,65.7405,8.0,2,2
10,756-01-7507,106.995,6.0,0,0
11,433-08-7822,579.8415,7.5,1,3
12,565-80-5980,198.99599999999998,7.1,0,0
13,102-77-2261,480.0285,4.2,0,1
14,512-98-1403,83.412,4.7,0,0
15,449-27-2918,41.076,9.6,2,2
16,789-23-8625,293.643,7.2,2,2
17,182-69-8360,99.33,4.0,0,0
18,531-80-1784,191.247,5.1,0,0
19,541-48-8554,575.9775,6.0,1,1
20,824-88-3614,288.204,5.7,0,0
21,407-63-8975,465.444,4.4,0,1
22,828-61-5674,462.21,9.6,2,3
23,873-95-4984,565.215,7.7,1,3
24,544-55-9589,225.015,6.2,0,0
25,670-71-7306,281.16900000000004,5.1,0,0
26,377-79-7592,423.73800000000006,7.5,2,3
27,237-01-6122,763.4655,9.5,1,3
28,253-12-6086,723.24,8.7,1,3
29,234-03-4040,767.025,8.7,1,3
30,271-88-8734,1020.705,8.7,1,3
31,532-59-7201,503.559,5.5,1,1
32,885-56-0389,54.9675,4.0,0,0
33,692-92-5582,172.74599999999995,5.9,0,0
34,618-34-8551,195.678,8.5,2,2
35,313-66-9943,91.8225,7.3,2,2
36,307-85-2293,263.97,9.7,2,2
37,250-17-5703,197.925,5.6,0,0
38,346-12-3257,181.81799999999998,8.0,2,2
39,593-65-1552,293.202,5.9,0,0
40,394-30-3170,742.812,4.3,1,1
41,151-33-7434,71.1585,6.5,0,0
42,272-65-1806,575.316,4.7,1,1
43,434-35-9162,98.02799999999999,7.4,2,2
44,549-03-9315,796.908,8.7,1,3
45,238-49-0436,272.664,4.9,0,0
46,659-36-1684,419.832,6.5,0,0
47,765-26-6951,457.44300000000004,6.9,1,3
48,704-11-6354,494.76,8.9,2,3
49,366-43-6862,222.138,6.7,0,0
50,725-54-0677,629.16,5.3,1,1
51,427-45-9297,299.3655,5.4,0,0
52,767-97-4650,136.143,8.0,2,2
53,400-89-4171,680.148,9.3,1,3
54,596-42-3999,133.917,6.6,0,0
55,139-52-2867,165.4485,4.8,0,0
56,826-58-8051,261.198,4.3,0,0
57,129-29-8530,328.755,7.0,0,0
58,648-83-1321,667.38,4.3,1,1
59,200-16-5952,137.865,6.0,0,0
60,340-21-9136,168.21,9.7,2,2
61,704-48-3927,931.035,7.3,1,3
62,807-34-3742,54.998999999999995,5.8,0,0
63,405-31-3305,452.865,5.5,0,1
64,811-03-8790,477.54,4.8,0,1
65,560-49-6611,47.858999999999995,9.8,2,2
66,809-46-1866,244.23,8.4,2,2
67,442-48-3607,49.308,7.9,2,2
68,152-68-2907,164.43,9.5,2,2
69,804-38-3935,295.407,5.9,0,0
70,234-36-2483,362.81699999999995,5.1,0,0
71,877-22-3308,166.635,5.8,0,0
72,731-81-9469,942.9,5.4,1,1
73,399-46-5918,722.232,8.2,1,3
74,735-06-4124,51.0405,4.4,0,0
75,457-94-0464,830.3715,5.6,1,1
76,482-17-1179,37.611,8.1,2,2
77,378-07-7001,151.4835,7.8,2,2
78,382-25-8917,265.10400000000004,8.9,2,2
79,676-10-2200,56.468999999999994,4.7,0,0
80,698-98-5964,852.705,6.3,1,1
81,416-13-5917,509.4075,9.3,2,3
82,729-09-9681,163.233,8.7,2,2
83,209-61-0206,225.2775,6.1,0,0
84,617-15-4209,32.277,7.2,0,2
85,423-64-4619,146.9475,5.0,0,0
86,442-44-6497,175.0455,5.9,0,0
87,585-90-0249,76.923,9.7,2,2
88,490-29-1201,16.107,6.5,0,0
89,589-02-8023,175.917,7.0,0,0
90,137-74-8729,102.396,6.8,0,0
91,848-95-6252,90.5835,7.0,0,0
92,372-94-8041,96.13799999999999,9.8,2,2
93,898-04-2717,721.98,7.5,1,3
94,767-05-1286,527.751,5.4,1,1
95,834-25-9262,343.056,9.1,2,2
96,188-55-0967,697.935,5.0,1,1
97,305-89-2768,68.985,4.7,0,0
98,851-98-3555,435.12,6.6,1,0
99,869-11-3082,403.87199999999996,8.4,2,3
100,358-88-9262,551.124,5.1,1,1
101,374-17-3652,404.649,8.9,2,3
102,362-58-8315,401.73,9.9,2,2
103,641-43-2399,107.31,5.7,0,0
104,151-27-8496,235.74599999999998,8.6,2,2
105,110-48-7033,137.004,9.0,2,2
106,529-56-3974,107.14200000000001,6.8,0,0
107,620-02-2046,145.74,9.0,2,2
108,261-12-8671,128.016,4.9,0,0
109,704-20-4138,218.0745,8.1,2,2
110,817-48-8732,759.675,5.4,1,1
111,663-86-9076,575.736,8.5,1,3
112,695-51-0018,146.328,7.4,2,2
113,338-65-2210,720.3,9.1,1,3
114,418-02-5978,794.6505,8.0,1,3
115,742-04-5161,764.19,7.3,1,3
116,592-34-6155,133.434,6.2,0,0
117,305-14-0245,793.716,7.5,1,3
118,631-34-1880,76.5765,4.3,0,0
119,236-86-3015,14.679,9.8,2,2
120,731-59-7531,609.5880000000002,4.6,1,1
121,227-03-5010,441.756,8.5,2,3
122,546-80-2899,79.149,9.5,2,2
123,200-40-6154,415.233,5.7,0,0
124,685-64-1609,316.47,9.2,2,2
125,840-76-5966,26.796,7.8,2,2
126,191-10-6171,291.207,7.5,2,2
127,886-77-9084,603.876,5.5,1,1
128,595-27-4851,398.958,9.3,2,2
129,241-72-9525,545.055,8.2,1,3
130,347-72-6115,666.939,6.2,1,1
131,132-32-9879,394.63199999999995,9.5,2,2
132,881-41-7302,68.2395,4.5,0,0
133,354-25-5821,435.45599999999996,5.6,0,1
134,647-50-1224,308.91,8.9,2,2
135,790-29-1172,180.62099999999998,7.9,2,2
136,365-64-0515,246.4875,7.1,0,0
137,478-06-7835,94.1745,4.9,0,0
138,134-54-4720,356.32800000000015,5.7,0,0
139,418-05-0656,187.86599999999999,7.1,0,0
140,278-86-2735,164.87099999999995,9.2,2,2
141,221-25-5073,313.572,8.5,2,2
142,235-06-8510,270.018,5.1,0,0
143,687-47-8271,1039.29,8.7,1,3
144,149-71-6266,737.7615,4.5,1,1
145,416-17-9926,779.31,4.3,1,1
146,665-63-9737,165.123,7.5,2,2
147,848-24-9445,91.77,4.9,0,0
148,318-12-0304,32.1405,5.2,0,0
149,311-13-6971,335.895,9.9,2,2
150,656-16-1063,146.22299999999996,4.4,0,0
151,527-09-6272,149.3625,9.1,2,2
152,835-16-0096,77.175,8.5,2,2
153,409-33-9708,206.808,9.2,2,2
154,651-88-7328,621.243,7.7,1,3
155,291-59-1384,63.315,6.0,0,0
156,234-65-2137,1003.59,4.8,1,1
157,725-56-0833,339.36,10.0,2,2
158,181-82-6255,103.131,7.0,0,0
159,425-85-2085,288.015,9.8,2,2
160,843-01-4703,334.341,9.6,2,2
161,396-90-2219,125.664,8.6,2,2
162,426-39-2418,451.3635,9.8,2,3
163,633-91-1052,25.263,5.1,0,0
164,228-96-1411,829.08,7.6,1,3
165,238-45-6950,56.40600000000001,6.4,0,0
166,825-94-5922,53.151,7.2,0,2
167,565-67-6697,255.15,4.8,0,0
168,439-54-7422,214.998,4.7,0,0
169,131-15-8856,609.168,4.0,1,1
170,156-95-3964,232.638,8.0,2,2
171,563-91-7120,324.2925,6.7,0,0
172,655-07-2265,246.6765,5.4,0,0
173,573-58-9734,95.6655,5.1,0,0
174,635-28-5728,176.4,4.8,0,0
175,894-41-5205,362.712,8.3,2,2
176,662-47-5456,369.495,8.4,2,2
177,154-87-7367,548.184,6.3,1,1
178,301-81-8610,213.528,6.7,0,0
179,574-57-9721,90.867,5.7,0,0
180,868-06-0466,657.5310000000002,7.8,1,3
181,286-43-6208,829.71,9.2,1,3
182,787-56-0757,337.51199999999994,8.3,2,2
183,474-33-8305,495.3165,6.9,1,3
184,830-58-2383,133.35,8.6,2,2
185,778-71-5554,16.2015,6.1,0,0
186,411-77-0180,530.67,4.3,1,1
187,274-05-5470,308.574,6.0,0,0
188,256-58-3609,96.579,9.8,2,2
189,534-53-3526,397.99199999999996,7.8,2,3
190,189-08-9157,299.8485,5.9,0,0
191,586-25-0848,90.699,6.7,0,0
192,862-17-9201,529.515,7.7,1,3
193,308-47-4913,548.73,6.2,1,1
194,648-94-3045,618.975,8.1,1,3
195,544-32-5024,209.118,6.4,0,0
196,163-56-7055,51.1455,4.1,0,0
197,598-47-9715,353.094,4.4,0,0
198,732-94-0499,437.325,5.4,0,1
199,746-04-1077,888.615,9.0,1,3
200,751-69-0068,937.818,9.0,1,3
201,389-70-2397,439.215,7.2,1,3
202,886-18-2897,296.94,4.5,0,0
203,290-68-2984,99.75,5.2,0,0
204,371-85-5789,277.137,5.1,0,0
205,545-07-8534,122.47200000000001,6.0,0,0
